#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string
#default,last,,,,,,,,
,result,table,_start,_stop,_time,_value,DAS,_field,_measurement
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:35Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:40Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:45Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:50Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:43:55Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:00Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:05Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:10Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:15Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:20Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:25Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:30Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:35Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:40Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:45Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:50Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:44:55Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:00Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:05Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:10Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:15Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:20Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:25Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:30Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:35Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:40Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:45Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:50Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:45:55Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:00Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:05Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:10Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:15Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:20Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:25Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:30Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:35Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:40Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:45Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:50Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:46:55Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:00Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:05Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:10Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:15Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:20Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:25Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:30Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:35Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:40Z,0.00,LMM,potencia,Sensores
,,0,2022-07-15T17:39:51.623Z,2022-07-15T20:39:51.623Z,2022-07-15T17:47:45Z,0.00,LMM,potencia,Sensores
